"('straight_party', u'')"
"('dont_know', u'')"
"('describe', u'')"
"('hearing', u'No')"
"('every_office', u'')"
"('improvements', u'')"
"('education', u'')"
"('occupation', u'')"
"('multiracial', u'')"
"('ipadexpertise', u'4')"
"('other_elec', u'')"
"('which_features_helpful', u'')"
"('punchcard', u'')"
"('political', u'Democrat')"
"('field', u'')"
"('time_pressure', u'')"
"('other', u'')"
"('income', u'')"
"('reading', u'No')"
"('bubble', u'')"
"('acuity', u'')"
"('touchscreen', u'')"
"('satisfied_overall', u'1')"
"('political_other', u'')"
"('ipaduse', u'1 to 8')"
"('othertypes', u'None')"
"('which_features_used', u'')"
"('other_race', u'')"
"('unsure_cast', u'')"
"('absentee', u'')"
"('language', u'')"
"('open_response', u'')"
"('gender', u'Male')"
"('age', u'20')"
"('arrows', u'')"
"('worried', u'')"
"('time_prevent', u'')"
"('hispanic', u'')"
"('race', u'')"
"('locationsother', u'Minnesota')"
"('english', u'Yes')"
"('satisfied_system', u'1')"
"('lever', u'')"
"('vision', u'Yes')"
"('locationsnational', u'Minnesota')"
