19. Do you typically vote a straight-party ticket?,
Don't know,
"If yes, please describe the situation: <br /><br />",
5. Do you have a hearing impairment?,
20. Do you typically cast a vote for every office on the ballot?,
31. What improvements would you suggest for this voting system? <br /><br />,
24. Please indicate the highest level of education you have completed.,
23. What is your current occupation?,
Multiracial (please specify),
"8. Please rate your level of iPad expertise (1 = novice, 10 = expert)",1
Electronic - other,
30. Which accessibility features did you find most helpful? <br /><br />,
Punchcards,
9. What is your political affiliation,
Degree of visual field,
"17. Have you ever felt that time pressure caused you to rush, make a mistake, or leave a choice blank when you would not otherwise have done so?",
"Other, please specify",
26. Which of the following income ranges best describes your yearly wages?,
4. Do you consider yourself to have a reading disability?,
15. Please indicate how many times you have used each type of technology or ballot to cast your vote in any election.<br /> <br /> Fill in the bubble (or box),
"If you answered no, please describe your Snellen visual acuity (ex. 20/200) and the degree of your visual field.<br /><br /> Visual acuity:",
Electronic - touchscreen,
"22. On a scale of 1-10, with 1 being least satisfied and 10 being most satisfied, how satisfied are you with your past voting experiences overall?",1
Other Political Affiliation,
10. How many national elections have you voted in?,
"12. How many other elections of any type (local, school board, etc.) have you voted in?",
29. Which accessibility features did you use? <br /><br />,
Other,
"21. When you voted in an election, have you ever been unsure if your vote was cast correctly or would be counted?",
"<b>***For questions 14 - 22, please answer keeping in mind your previous voting experience in any type of election (not including voting you did in this study). If you have never voted, please skip questions 14 - 22.*** </b><br /><br />14. Do you typically cast your vote on an absentee ballot?",
"If no, what is your native language?",
Open response,
2. Gender,Male
1. Age,20
Connect the arrows (or lines),
Have you ever felt worried about figuring out how to use the ballot or technology to cast your vote?,
"18. If you have felt time pressure, did this prevent you from voting?",
Other Hispanic or Latino (please specify),
25. Are you:,
13. In which state(s) and county(s) have you voted in other types of elections?,
6. Are you a native English speaker?,
"28. On a scale of 1-10, with 1 being least satisfied and 10 being most satisfied, how satisfied are you with your experience using our voting system?",1
Lever machines,
3. Do you have normal or corrected to normal vision? ,Yes
11. In which state(s) and county(s) have you voted in a national election?,
